,car_ID,etat_de_route,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement,longueur_voiture,largeur_voiture,hauteur_voiture,poids_vehicule,type_moteur,nombre_cylindres,moteur_cc3,systeme_carburant,taux_alésage,course,taux_compression,chevaux,tour_moteur,consommation_ville,consommation_autoroute,prix,marque,modele
0,1,3,gas,standard,2,decapotable,arriere,devant,2.25,4.29,1.63,1.24,1.27,double ACT,4,2130.0,injection multipoint multipoint port unique,3.47,2.68,9.0,111,5000,11.20069442857143,8.711651222222223,13495.0,alpha-romeo,giulia
1,2,3,gas,standard,2,decapotable,arriere,devant,2.25,4.29,1.63,1.24,1.27,double ACT,4,2130.0,injection multipoint multipoint port unique,3.47,2.68,9.0,111,5000,11.20069442857143,8.711651222222223,16500.0,alpha-romeo,stelvio
2,3,1,gas,standard,2,hayon,arriere,devant,2.4,4.35,1.66,1.33,1.41,soupapes en tête à manchon,6,2491.0,injection multipoint multipoint port unique,2.68,3.47,9.0,154,5000,12.379714894736843,9.046714730769231,16500.0,alpha-romeo,Quadrifoglio
3,4,2,gas,standard,4,berline,avant,devant,2.53,4.49,1.68,1.38,1.17,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,10.0,102,5500,9.800607625,7.840486100000001,13950.0,audi,100 ls
4,5,2,gas,standard,4,berline,4motrice,devant,2.52,4.49,1.69,1.38,1.41,ACT,5,2229.0,injection multipoint multipoint port unique,3.19,3.4,8.0,115,5500,13.067476833333334,10.691571954545454,17450.0,audi,100ls
5,6,2,gas,standard,2,berline,avant,devant,2.53,4.5,1.68,1.35,1.25,ACT,5,2229.0,injection multipoint multipoint port unique,3.19,3.4,8.5,110,5500,12.379714894736843,9.40858332,15250.0,audi,fox
6,7,1,gas,standard,4,berline,avant,devant,2.69,4.89,1.81,1.41,1.42,ACT,5,2229.0,injection multipoint multipoint port unique,3.19,3.4,8.5,110,5500,12.379714894736843,9.40858332,17710.0,audi,100ls
7,8,1,gas,standard,4,break,avant,devant,2.69,4.89,1.81,1.41,1.48,ACT,5,2229.0,injection multipoint multipoint port unique,3.19,3.4,8.5,110,5500,12.379714894736843,9.40858332,18920.0,audi,5000
8,9,1,gas,turbo,4,berline,avant,devant,2.69,4.89,1.81,1.42,1.54,ACT,5,2147.0,injection multipoint multipoint port unique,3.13,3.4,8.3,140,5500,13.836151941176471,11.76072915,23875.0,audi,4000
9,10,0,gas,turbo,2,hayon,4motrice,devant,2.53,4.53,1.72,1.32,1.53,ACT,5,2147.0,injection multipoint multipoint port unique,3.13,3.4,7.0,160,5500,14.7009114375,10.691571954545454,17859.167,audi,5000s (diesel)
